date,review_title,review_text,rating
2019-05-22T19:27:23-07:00,아이폰 자동 터치,아니 아이폰 리니지만 키면 자동터치되는데ㅓ ㅇ 찌라는거지 ??,5
2019-05-20T21:28:57-07:00,리얼 갓겜,한번 눈돌면 집말아먹는게임,5
2019-05-20T19:07:06-07:00,최근 접속 후 자꾸 인증 오류 뜹니다,"최근 접속 2일 전 그 이후 어제부터 계속 인증 오류 코드번호 10 이렇게 안내창이 뜨고 접속이 안됩니다
왜 그런걸까요",1
2019-05-17T07:31:45-07:00,이게 하라고 만든거냐,아니 아이폰 유저인데 뭐 제대로 개선을 해주던가 애시당초 하고 싶어도 10분마다 한번씩 튕기는데 서버 불안정도 아니고 신서버에서 하는건데 이따위로 튕기면 뭐 어쩌라는겨 이렇게 튕기는 게임은 난생 처음이네 다운받은지 1시간도 안돼서 걍 바로 지움 이미 조진 게임이라 생각함,1
2019-05-17T05:53:16-07:00,업데이트,업데이트 하라는 문구가 하루에 몇번씩이나 나오네. 1년전 리뷰로 봤지만 아직도 못 고치고 쯧쯧,5
2019-05-16T21:19:06-07:00,업데이트,"업데이트하고 게임실행이안되요
안고쳐줍니까?",2
2019-05-16T06:02:24-07:00,아이폰유저인대요,업데이트 받을려고 하는데 자꾸 결제정보를 입력하라고 하는데 먼가요,1
2019-05-16T00:29:47-07:00,리니지m 을 더재미있게 하기 위해 v50 구매했는데...,"리니지m 멀티태스킹 안되고 게임패드 불편한데

다른 블소나 리니지2는 멀티태스킹 잘되고 게임패드 작동 진짜 좋네요

리니지m더 패치 해서 멀티 기능 게임호환 잘됬으면 좋겟네요.",2
2019-05-15T18:08:03-07:00,한국게임에 실태,"디아블로나 스타나 배그 왜 아직도 하는지 모르는가
리니지가 만일 첫결재로 모든이용이 가능했다면 오히려 더 많은 사람이 즐기지 않을까 게임을 만들서 돈 버는것도 좋은데 리니지는 빈부에 격차가 심한게임",5
2019-05-15T05:24:46-07:00,인증 시스템오류 code10,갑자기 왜 그런가요,1
2019-05-15T04:19:02-07:00,굿,잡,5
2019-05-14T21:10:25-07:00,아 제발 봐라 제발 좀,"들어갈때마다 업데이트+고용량 다운로드
한번하는데 몇십분기다리면뭐해
이사람들은 고칠생각 하나없고 돌아오는대답
다똑같다 그냥 다운또하시고 매일 또하세요 이거네
극혐식충이게임",1
2019-05-14T19:53:08-07:00,2년 무과금 영변x 영인2개,할만함.. 근데 파템 다 맞추고나니 여기서 장비 업할려면 시간과 싸움임 ㅋㅋ 옛날 추억생각하며 그래픽보면서 그냥 자동사냥 ㅎㅎㅎ,5
2019-05-14T18:47:58-07:00,게임처음나왔을땐 그나마...,지금뭐 조금이라도 유저가 돈안쓰고 할수있는부분마저 다 공지없이 잠수함패치 시켜서 뭐 돈안쓰면 게임을할수없을정도 수준으로 만들어둠,1
2019-05-14T18:42:42-07:00,아이폰유저 무시하는게임,어쩜 고칠생각이하나도없는건지 업뎃만하면 아이폰유저는기본 하루정도는 업데이트안떠서 게임접속을못함...그래서 앱플레이어쓰면 불법이라고 뭐라함 아이폰유저들은 유저도아니냐 똑같이 돈쓰면서게임하는데 진짜 징글징글하다 예전에 피씨리니지도 15년을하다가 니들이 팜인가??그거업뎃하면서 아이폰유저는 하지도못하게하더니 애플이랑 원수졌냐 누가보면 삼성하청인줄알겠다,1
2019-05-14T16:38:44-07:00,상점이랑. 던전 창을. 누르면. 튕기는. 현상이. 발생. 다시. 재정 해야. 하고. 옷이래요,이번 업뎃으로 아이콘이랑 아이패드 유저는 또 다시 튕김 현상이 발생 한다 수정 바람,5
2019-05-14T15:18:01-07:00,리니지란 말이다,옥석을 가리는 게임이란다~ 돈없으면 하는게 아니야 ㅋㅋㅋ 엔씨가 이 리니지로 분기마다 얼마를 버는지 아니? 그러니깐 초기에 아이템 이런이야기 하지마 ㅋㅋㅋ 다시 말하지만 헤비과금유저를 위한 게임이야ㅋㅋ 돈없으면 하지마~~,5
2019-05-14T14:19:56-07:00,돈없으면 못하는 겜,ㅎㅎㅎㅎㅎㅎ,5
2019-05-14T14:13:23-07:00,리니지변신인형아데나,캐릭터마다하나식변신인형뽑기가돼으면합니다 아데나뽑기로 사람들이그만큼현들하면 이제는뱐신인형하나식뽑기 부탁드립니다,4
2019-05-10T23:39:05-07:00,발더스게이트 시리즈를 하고 말겠다,"리니지의 추억을 현실로 만들었구나 

발더스게이트 구매하고 리니지 끊었다",5
2019-05-09T22:39:27-07:00,영자님@@@@,경험치합산이벤트 한번만더 해주시면 안되요? 지인분들 암기나오고 뒤늦게 복귀하시려는분들 있는데 새로키우기 뭐해서 합산해서키우려고하시던데...서버이전은 간간히 하는데 경험치 합산이벤도 한번씩 부탁드려요 뒤늦게 복귀하시려는분들에겐 희소식일겁니다!!,5
2019-05-09T08:40:29-07:00,아니 시어떳는데 왜 갑자기 없어진거냐??,아니 뭐하자는겆니까 복구해주세요;;;,1
2019-05-08T03:44:32-07:00,이거 겜이 도박 겜이네,"운영진이 다들 멍멍이들이구나
돈에 노예들아 응 저주할께!!!",5
2019-05-05T07:35:09-07:00,업뎃 없다는 분들,"업데이트 들어가셔서 스크롤 아래로 내려보세요
업뎃 목록 새로고침 됩니다",5
2019-05-04T19:12:37-07:00,법사 소환마법,법사 소환마법줌 만들면 잼나겠어. 그리고. 동일변신. 그것도 만들면. 잼나겠어.재미가. 우선이야 만들어조옹~~~,4
2019-05-04T06:32:11-07:00,아이폰 유저 거래소 안되는게 말이됨?,"아니ㅋㅋㅋㅋ게임나온지 얼마나됬는데 아이폰은
왜 아직도 거래소가 안되냐? 안되면 되게 해야지ㅋㅋ
이럴거면 모바일로 왜 게임 만들었어?
안드로이드유저랑 차별하냐?",1
2019-05-04T02:41:20-07:00,아이디로그인어케해요,계정 로그아웃하고 재로그인 했는데 캐릭터가 사라졌는데 해결방법좀 알려주세요 ㅡㅡ,2
2019-05-03T23:44:18-07:00,기기등록 전화번호 변경,변경어떻게해여?? 번호바꿧는데 게속 전번호로 인증번호가 오네요;;;,4
2019-05-03T16:32:56-07:00,메크로 정리에 의지좀 보여라,중국인지 뭔지 알수도 없는 아이디에 작업장좀 정리 해줘라,1
2019-05-02T20:34:19-07:00,아이폰 .,"아이폰으로 리니지m 자동사냥돌리면  자동으로 먹는 
변신 인형 등작동을않하네요 ?",2
2019-05-02T16:43:19-07:00,영변뽑았는데 사라졌어요,"페북계정입니다
아크변신상자에서 나오는 변신상자 열다가
조우 영웅변신나왔는데 사용하니까 없네요?
변신 메뉴들어가서 아무리찾아도 조우를 사용했는데도 안떠있어요 해결좀해주세요",2
2019-05-02T08:56:49-07:00,운영진 님들 봐주세요,다른이 아니라 이번에 출석체크 중 빛나는티셔츠제작서를 받았는데 어디에도 안보이네요.. 따로 어디서 받아야 하는거라면 어디에서 받는지 좀 알려주시고 시스템 오류라면 주시면 감사하겠습니다. 아이디는 Noise입니다,5
2019-05-02T02:00:33-07:00,장난하나,아이폰유저는호구냐 뻘직하지말고 개인거래나 만들어,1
2019-05-01T21:36:29-07:00,접속 오류,아이폰 유저인데 저만 자꾸 팅기나요 ?,1
2019-05-01T15:48:59-07:00,왜장비를안주는지,이벤트 기간 매일출석체크하는데 빛나는 티셔츠를받는날인데 출석은체크되고 아이템은 안줌 구경도못함 렉인가생각해서 다음날 업뎃하고들어갔는데 없음,1
2019-05-01T15:40:45-07:00,개선 필요,아이템 강화 및 변신. 인형카드 합성 실패 시 그 단계에 맞는 강화성공확률 상승이 필요해보임. 몇백몇천을 써도 돈이 흔적도 없이 증발해버리는. 유저 피빨아먹는 게임 시스템 엔씨 서프트 개같은 회사,1
2019-05-01T15:21:30-07:00,아이폰 문의입니다,안드로드폰은 거래소가 있는데 아이폰은 거래소가 없네요,1
2019-05-01T14:03:16-07:00,정말 잼있네요,다만 과금을 못하면 따라갈 수가 없는 게임이라 그 부분만 빼면 상당히 만족합니다.,5
2019-05-01T13:58:11-07:00,접속불가?,몇번을 지우고 또 다운받고  ㅠㅠ 왜 접속이 안되나요 시간낭비 데이터 낭비 밧데리 낭비 해결해주셔,5
2019-05-01T10:45:24-07:00,개 ㅆ망겜ㅋㅋㅋㅋ,"리니지2레볼보다 인원없음
심지어 있는인원 대부분 부계정 및 작업장 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그 소수 인원덕분에 먹고사는거지 그 인원 몇명만 떠나도 개 밑바닥 ㅇㄱㄹㅇ",1
2019-04-30T17:53:46-07:00,이일출석보상,"매일출석 보상 28일째인데 출책 완료후애도 빛나는티셔츠 교환증서가 가방에 들어오질 않습니다,확인부탁드랍니다.",2
2019-04-30T13:58:11-07:00,오늘희귀인형,오늘 30일째 희귀인형받는날인데 출석체크는다 되엇는데 희귀인형이 안들어오내요 조치부탁드립니다,5
2019-04-30T09:30:38-07:00,적당히좀하자..별 0개없나,어차피안보겠지만,1
2019-04-28T04:17:17-07:00,무과금들은게임하지말라는것고아니고,막피하는애들은 쫌 신고를하게하던지 해야죠 무슨 자동사냥돌려놓으면죽이고 게임이따구로 쳐만들어서 현질하게하는것고아니고,5
2019-04-28T00:59:11-07:00,으아아악,그래픽보면 눈썩음,1
2019-04-25T00:42:26-07:00,별다섯개줘서 보라고해도 안보는 놈들임,욕 먹어도 접는 사람 많아도 리니지는 돈많은 몇 사람 때문에 게임이 돌아간다 엔씨는 돈만벌면 되고 그게 목적이었으니까 그래서 우리가 요구하는거 안들어준다 트라하로 넘어가자~~~~~ㅋㅋㅋㅋㅋ,5
2019-04-22T05:19:35-07:00,아이폰6 잽이나 다른거 누르면 튕깁니다,수정돼요,5
2019-04-21T22:58:52-07:00,저장공간 뭐죠,저장공간이 10기가 이상 남았는데도 자꾸 부족하다는데 지웠다 깔아도 그러고 껐다 켜도 그러네요,1
2019-04-21T07:18:06-07:00,진짜 nc짜증나네,"겜이 끊겨도 적당히 끊겨야지ㅡㅡ
보고있는데 짜증이 확 치밀어 오르네
이런글은 또 답글 안남겨줄꺼지?
현질유도만 줮나게하고 
관리 똑바로해라 진짜
돈만 받아처먹지말고 제발좀 생각이있으면
제대루 운영해 이 게임이 평점이 왜낮은지 알면서도
개선안하는건 우리가 호구로 보이는건가?ㅋㅋㅋㅋㅋㅋㅋㅋ
유저들이 그냥 돈나오는 지갑으로 보이겠지 ㅋㅋㅋㅋ
이번에도 2조넘게 벌었다면서 똑바로 관리좀해요
제.발.좀. n.c.야.",1
2019-04-20T23:33:22-07:00,아이폰6 세속 튕겨요,"오늘부터 세속
겜접속하고나서 사냥가려고
지도 누르면 게임 팅겨버립니다
무한반복이네요 
해결된 부탁드립니다",1
2019-04-20T11:34:09-07:00,이거 어떻게해야대나요,핸드폰번호를 바꿧는데 계속 전 번호를 달라네요;;,5
2019-04-19T21:28:21-07:00,그넘에 저장공간,아니 13기가나 남았는데 3기가 부족하다고 저장공간을 계속 비우라고 뜨냐;;;고쳐 빨리 겜을 하지말라는거냐,1
2019-04-18T15:53:45-07:00,쓰레기돈만밝히는게임 아니 도박,내용무,1
2019-04-18T07:20:33-07:00,하지마셈,"진짜 과금 많이해서 땅에 돈 꼴아박을거 아니면 깔지마세요

매번 하는 이벤트 랍시고, 상자 만들어서 과금유도 하고, 그것도 모자라서

남들이 좋은 아이템 상자에서 나오면 채팅창에 뜨게끔 설정 해놓고 
기대심리 이용해서 또 뽑게 만들고 

개악질 쓰레기 게임입니다

절대 하지마세요

6검 4셋 오크잡으면서 노실 멘탈. 있으신분 아니라면 비추 합니다",1
2019-04-18T02:51:10-07:00,과금을 안한다면....,과금을 안한다면 다른 사람들을 따라잡을 수 없는 구조.. 레벨업 조차 과금을 하지 않으면 하기 힘듦. 그리고 과금을 한다고 그래도 꼭 자기가 원하는 아이템이 나온다는 보장이 없음. 그리고 아이폰은 업데이트 하루 길게는 하루 이상 필요... 옛날 리니지 그래픽 재현하고 재미는 있지만 신규유저 혹은 과금을 하지 않는다면 거의 할 수 있는게 없는 게임.,2
2019-04-18T01:02:23-07:00,현질유도,이런망겜 하지 맙시다,1
2019-04-17T16:34:13-07:00,천상의기사 제작했는데 왜 변신에서 안나타나는거에요. 내변신 70만돌려줘 ㅠㅠ,빨리조치바람,4
2019-04-17T16:28:38-07:00,자동구매 개편좀,"자동구매 설정할때 숫자 입력으로 개편좀 해주세요
바가 엄청 민감해서 살짝만 움직여도 백개단위로 넘어가 버리니..",4
2019-04-17T14:03:12-07:00,도대체 애플은 뭐 하냐,이 불공정 사행성 유발 게임 매주 정기점검때마다 마켓 이슈로 안드로이드는 서비스 하고 애플은 서비스 못 하는데 그냥 앱 징지 시켜라 스티브 잡스 형님 계셨음 아마 바로 정지다,1
2019-04-17T02:00:54-07:00,개인 거래는 언제 할수있나요!?,"개인 거래 업데이트좀 빨리해주세요ㅠㅠㅠㅠ
언제까지 기다리게할건가요 다 떠나고있잖아요 ㅠㅠ",5
2019-04-16T23:36:12-07:00,무슨 저장공간이 부족해,18기가 남은 기기에 3500메가가 없어서 설치를 못한다는게 말이냐 방구냐? 다른 대용량 게임들은 잘만 설치/실행되는데 혼자 아주 유난을 떠네 ㅡㅡ,1
2019-04-16T16:53:27-07:00,아이폰인데 왜팅기는거야,똑바로해라,1
2019-04-15T04:03:10-07:00,아니 왜 자꾸 팅기는이유는뭐에요,업뎃하고나서부터 갑자기 하다가 팅기고 하다가 팅기고 한두번이면모르겠는데 자꾸이러네,5
2019-04-14T08:59:02-07:00,진짜,"별다섯개해야지만 봐요? 하나주면 안볼까봐 저도 5개했는데요.
아이폰 xs 로 바꾸고나서 시던 추종 중간에 다 팅깁니다 
일기장 조각도 못받고 파티원들한테는 미안하고,
어찌좀 해주시렵니까",5
2019-04-14T08:42:33-07:00,아이폰 유저입니다,"게임 재미있게 즐기려는 유저입니다
다름이 아니라 아이폰으로 게임을하는데 
기다리고 기다려도 거래소가 안생기는데
아이폰은 거래소가 나올수가 없는겁니까...?
사고싶은 템도 못사다보니 너무 불편하네요...ㅠㅠ",5
2019-04-14T04:48:02-07:00,거래소....,아이폰도 거래소 이용할수있게 해주세요,3
2019-04-14T04:11:19-07:00,씨팔,아이폰xr 퀘완계속팅겨 고쳐,1
2019-04-14T01:14:49-07:00,케네이스,생성 제한 ㅡㅡ 장난하나 서버를 만들던가 ㅅㅂ 개 엔씨 새끼들,1
2019-04-13T23:55:24-07:00,아이폰xr쓰고있는데 거래소가 왜 없나여....,거래소가 왜없나여 검색해보니깐 업데이트준비중이라는데 언제 되져 ㅠㅠㅠ,5
2019-04-13T21:35:12-07:00,저 결제말인데여,3900원짜리 삿는데 1000원추가결제는 왜된거죠? 게임은재밋음,5
2019-04-13T05:14:29-07:00,왜캐 팅기죠?,",??",1
2019-04-13T00:41:45-07:00,아이폰도 이제 거래소 좀 열어줘,아이폰도 좀 거래소 열어줘,1
2019-04-12T19:24:37-07:00,읽고 빨리 고치세요 팅기는거,아이폰6사용자인데 계속 팅기네요 진짜 언제 고칩니까 짜증나네요 이젠 맵지도열면 팅기고 들어가면 또팅기고 겜하라는겁니까? 빨리 고치시고 캐릭터 삭제 그냥 할수있게 해주고 닉변시스템도 넣어주세요,1
2019-04-12T00:27:55-07:00,게임은짱좋은데,로딩에서. 갑자기. 점속이안되네요. 조치좀부탁드려요,5
2019-04-11T08:56:28-07:00,상점이 안눌러짐,"아이폰7 사용자 인데
케릭마다 퀘스트 레벨 14~15 키우다보면

다이아준다고 하면서 상점이 활성화되어서
누르라고 안내멘트가 나오지마 클릭자체가
안되는데 어떻게 게임하라고 이렇게 만든거죠?",1
2019-04-11T05:56:56-07:00,아이폰6 지도나 월보 클릭하면 자꾸팅김,개선 안해줄꺼임?????,1
2019-04-11T05:33:57-07:00,게임이 자꾸 떠지네요...,현재 아이패드 에어를. 쓰고있는데 왜 중간중간마다 튕길까요??,1
2019-04-10T22:50:57-07:00,업데이트 후 멈춤현상,"Ios12.2 버전입니다. 이번 업데이트후 절전모드를 사용하면 게임이 멈추는 현상이 발생합니다. 
하루종일 충전기를 꽂아놀수도 없는건데 절전모드로 해놓으면 멈춰서 캐릭터가 죽어있습니다. 
이점 확인해주시고 패치부탁드립니다.",3
2019-04-10T20:56:38-07:00,악마의 게임,물질과 영혼을 갉아먹는 게임,1
2019-04-10T17:11:36-07:00,ios 거래소는 언제쯤,"왜 아이폰만 차별하는 건가요?
아이폰 쓰는 사람들은 거래소 이용 하지말라는 건가요?
아님 귀찮게 안드로이드 공기계 쓰라는건지요? 전 캐릭 렙이 안돼서 거래소 버튼이 안뜨는줄 알았는데 그냥 아이폰이라고 거래소 버튼이 없더군요",5
2019-04-10T09:59:34-07:00,아이폰차별,아이폰은 왜 안드로이드랑 다르게 왜 업데이트후 항상 안드로이드와 같이게임접속을할수없나요 그럼안드로이드도막아놓고 같이접속하게 하던지..,1
