twit_text,date
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→6위), 30위 권에서 가장 변동폭이 큰 게임은 「페이트/그랜드 오더」(18위→24위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「뱅드림! 걸즈 밴드 파티!」(79위→100위) 입니다.",오전 5:01 - 2019년 5월 20일
#검은사막 #검은사막모바일 #다크니스 #전장 #각성 #유튜브 #아프리카bj #아프리카방송 #아프리카티비 #라모네스 https://www.instagram.com/p/Bxp8oo0H4Co/?igshid=1suv3di4hdez5 …,오후 12:14 - 2019년 5월 19일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「킹 오브 파이터 올스타」, 3위는 「블레이드&소울 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 19일
검은사막 모바일잉가요..?,오전 3:01 - 2019년 5월 19일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(5위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「배틀그라운드」(32위→20위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「블리치 Mobile 3D」(252위→90위) 입니다.",오전 5:01 - 2019년 5월 18일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「킹 오브 파이터 올스타」, 3위는 「블레이드&소울 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 18일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「킹 오브 파이터 올스타」, 3위는 「블레이드&소울 레볼루션」, 4위는 「리니지2 레볼루션」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 5월 17일
검은사막 모바일 그지같네. 오후 1시까지 마무리 될 거라던 패치가 어떻게 밤 11시가 다 돼가도록 마무리가 안 되냐. 언제까지 앱스토어 핑계 댈 건짛ㅎㅎ 빡치네. 그렇다고 보상이 빠방하길 하나. 매번 이딴 식이야. 나 보스몹 잡아서 기술 배워야 한다고 시발. 에러도 안 잡히고 오늘 되는 게 없어!,오전 6:50 - 2019년 5월 16일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「킹 오브 파이터 올스타」, 3위는 「블레이드&소울 레볼루션」, 4위는 「리니지2 레볼루션」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 5월 16일
갤러리보다가 검은사막 모바일할때 내 캐가 너무 잘생겨서 정신을 몬차렷던 때가 잇엇지 ,오후 10:16 - 2019년 5월 15일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「킹 오브 파이터 올스타」, 3위는 「리니지2 레볼루션」, 4위는 「블레이드&소울 레볼루션」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 5월 15일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「리니지2 레볼루션」, 3위는 「블레이드&소울 레볼루션」, 4위는 「킹 오브 파이터 올스타」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 5월 14일
