twit_text,date
라그나로크M 텐센트 Ragnarok Mobile By Tencent 3rd CBT #4-11 仙境傳說 愛如初見 10vs10#2 P... https://youtu.be/TkvJzRnNKM4  このクオリティなら日本で大ヒットするだろうなあ,오전 5:30 - 2019년 3월 29일
라그나로크M갓겜인가요?,오전 6:32 - 2019년 3월 27일
밀리시타랑 도미네이션즈랑 라그나로크M이요,오전 6:31 - 2019년 3월 27일
나 이십대 여자인데 요즘 이십대 여자 동년배들 다 라그나로크M 하더라,오전 6:30 - 2019년 3월 27일
라그나로크m 1주년 쿠폰 공략 공유 : 5만원 상당 가치 (출처 : 이게임어때 | https://blog.naver.com/isdn2721/221497098477 … 블로그) http://naver.me/IDYP8J6D ,오전 2:57 - 2019년 3월 25일
라그나로크m 깔아봤는데 사냥터에 매크로가 너무많음,오전 12:59 - 2019년 3월 24일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「신명」(8위→9위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(24위→27위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「리그너스 대륙전기」(87위→92위) 입니다.",오전 5:01 - 2019년 3월 20일
성우 김장-라그나로크M 1주년 기념 영상 ,오전 6:11 - 2019년 3월 16일
라그나로크M : 영원한 사랑 폰게임,오후 9:58 - 2019년 3월 15일
라그나로크 M  ,오전 7:46 - 2019년 3월 15일
젠장 밀리시타로 가고 싶은데 가장 최근에 한 건 라그나로크M이야,오전 3:46 - 2019년 3월 15일
라그나로크 M  ,오전 1:43 - 2019년 3월 15일
[모바일추천 게임]라그나로크M : 영원한 사랑 https://findjun.tistory.com/101 ,오전 5:34 - 2019년 3월 14일
박연구원[모바일추천 게임]라그나로크M : 영원한 사랑 https://findjun.tistory.com/101 ,오전 4:51 - 2019년 3월 14일
[더코리아뉴스] 배순민 기자 = ‘라그나로크M’ 국내 정식서비스 1주년 풍성한 이벤트 돌입,오후 11:53 - 2019년 3월 13일
더욱 흥미로운 모험의 나라로 함께 떠나오!영원한 사랑의 라그나로크M그리운 추억이 가득한 그곳 상상이 현실이 되는 미드가르드 대륙으로 여러분을 초대하지오 https://oevery.com/3897316 ,오후 11:46 - 2019년 3월 13일
[라그나로크M] 에반게리온과 라그나로크 특급 콜라보 이벤트 이미지입니다. (출처 : 괴수의왕 .. | https://blog.naver.com/artgihun/221481281571 … 블로그) http://naver.me/FVfjtv8a ,오후 12:14 - 2019년 3월 5일
https://youtu.be/EI2P_i2Kh_w 라그나로크 M의 주제곡이죠.보컬은 난죠 요시노.,오전 1:42 - 2019년 3월 5일
#라그나로크M #무과금 직업 추천 ? #상인,오후 11:43 - 2019년 3월 1일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「아리엘」(9위→11위), 30위 권에서 가장 변동폭이 큰 게임은 「페이트/그랜드 오더」(20위→27위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(24위→51위) 입니다.",오전 4:01 - 2019년 3월 1일
고인물의 게임 라그나로크m ....,오후 10:14 - 2019년 2월 27일
태국 라그나로크 M 출시~,오전 2:21 - 2019년 2월 27일
그럴땐 라그나로크M의 세계로 오십시오 16a채널의 국립으앙단이 여러분을 환영합니다,오후 10:40 - 2019년 2월 26일
1주년 맞이하는 모바일게임 라그나로크M 근황 ,오후 8:08 - 2019년 2월 26일
요즘 라그나로크 m하고잇어요!!,오전 2:49 - 2019년 2월 19일
라그나로크M,오전 7:08 - 2019년 2월 18일
라그나로크M,오전 7:00 - 2019년 2월 18일
그건 그래여.. 하지만 실물 버튼없이 하는 게임은... 손맛이 안나는 늙은 게이머.... 겜얘기... 이번에 트라하인지 뭔지나 라그나로크m 해볼까 살짝 고민중이에요,오전 12:38 - 2019년 2월 18일
라그나로크M이 에반게리온이랑 콜라보를한다고?,오전 8:29 - 2019년 2월 12일
라그나로크M 모바일겜임 pc겜도 아직 안망했엌ㅋㅋㅋㅋㅋㅋㅋ,오후 7:37 - 2019년 2월 11일
"‘라그나로크M', 신세기 에반게리온과 콜라보 ",오후 10:00 - 2019년 2월 8일
